index,artist,genre,style
93,ilya-repin,portrait,Realism
94,edgar-degas,landscape,Impressionism
95,nicholas-roerich,landscape,Symbolism
96,pablo-picasso,genre_painting,Impressionism
97,camille-pissarro,landscape,Impressionism
98,rembrandt,Unknown Genre,Baroque
99,pablo-picasso,still_life,Cubism
100,albrecht-durer,genre_painting,Northern_Renaissance
101,nicholas-roerich,landscape,Symbolism
102,pyotr-konchalovsky,still_life,Expressionism
103,pablo-picasso,Unknown Genre,Cubism
104,salvador-dali,landscape,Post_Impressionism
105,nicholas-roerich,sketch_and_study,Symbolism
106,boris-kustodiev,nude_painting,Art_Nouveau
107,ivan-aivazovsky,landscape,Romanticism
108,pablo-picasso,still_life,Cubism
109,nicholas-roerich,genre_painting,Symbolism
110,vincent-van-gogh,landscape,Post_Impressionism
111,rembrandt,Unknown Genre,Baroque
112,nicholas-roerich,landscape,Symbolism
113,vincent-van-gogh,Unknown Genre,Realism
114,rembrandt,genre_painting,Baroque
115,pyotr-konchalovsky,genre_painting,Post_Impressionism
116,childe-hassam,landscape,Impressionism
117,pyotr-konchalovsky,landscape,Realism
118,boris-kustodiev,sketch_and_study,Realism
119,eugene-boudin,cityscape,Impressionism
120,ivan-aivazovsky,religious_painting,Romanticism
121,marc-chagall,illustration,Naive_Art_Primitivism
122,claude-monet,cityscape,Impressionism
123,gustave-dore,illustration,Romanticism
124,pyotr-konchalovsky,landscape,Realism
125,albrecht-durer,portrait,Northern_Renaissance
126,childe-hassam,landscape,Impressionism
127,rembrandt,sketch_and_study,Baroque
128,vincent-van-gogh,sketch_and_study,Post_Impressionism
129,pablo-picasso,genre_painting,Post_Impressionism
130,gustave-dore,illustration,Romanticism
131,ilya-repin,portrait,Realism
132,camille-pissarro,landscape,Realism
133,vincent-van-gogh,genre_painting,Realism
134,pierre-auguste-renoir,landscape,Impressionism
135,marc-chagall,genre_painting,Naive_Art_Primitivism
136,ivan-shishkin,landscape,Realism
137,boris-kustodiev,genre_painting,Art_Nouveau
138,nicholas-roerich,landscape,Symbolism
139,marc-chagall,illustration,Naive_Art_Primitivism
140,vincent-van-gogh,still_life,Realism
141,claude-monet,landscape,Impressionism
142,nicholas-roerich,sketch_and_study,Symbolism
143,john-singer-sargent,cityscape,Impressionism
144,pyotr-konchalovsky,landscape,Realism
145,pyotr-konchalovsky,Unknown Genre,Realism
146,pyotr-konchalovsky,sketch_and_study,Post_Impressionism
147,albrecht-durer,portrait,Northern_Renaissance
148,claude-monet,genre_painting,Impressionism
149,paul-cezanne,landscape,Cubism
150,martiros-saryan,genre_painting,Expressionism
151,john-singer-sargent,landscape,Impressionism
152,vincent-van-gogh,landscape,Realism
153,pyotr-konchalovsky,Unknown Genre,Post_Impressionism
154,gustave-dore,illustration,Romanticism
155,childe-hassam,cityscape,Impressionism
156,nicholas-roerich,cityscape,Art_Nouveau
157,childe-hassam,Unknown Genre,Impressionism
158,ivan-aivazovsky,landscape,Romanticism
159,paul-cezanne,cityscape,Cubism
160,edgar-degas,Unknown Genre,Impressionism
161,camille-pissarro,landscape,Impressionism
162,vincent-van-gogh,landscape,Post_Impressionism
163,martiros-saryan,landscape,Post_Impressionism
164,vincent-van-gogh,sketch_and_study,Realism
165,marc-chagall,religious_painting,Naive_Art_Primitivism
166,albrecht-durer,portrait,Northern_Renaissance
167,albrecht-durer,religious_painting,Northern_Renaissance
168,vincent-van-gogh,sketch_and_study,Post_Impressionism
169,boris-kustodiev,genre_painting,Art_Nouveau
170,albrecht-durer,religious_painting,Northern_Renaissance
171,ivan-shishkin,landscape,Realism
172,edgar-degas,sketch_and_study,Impressionism
173,nicholas-roerich,Unknown Genre,Symbolism
174,nicholas-roerich,landscape,Symbolism
175,pablo-picasso,nude_painting,Expressionism
176,vincent-van-gogh,still_life,Post_Impressionism
177,edgar-degas,nude_painting,Impressionism
178,childe-hassam,genre_painting,Impressionism
179,nicholas-roerich,Unknown Genre,Art_Nouveau
180,gustave-dore,illustration,Romanticism
181,albrecht-durer,sketch_and_study,Northern_Renaissance
182,john-singer-sargent,Unknown Genre,Impressionism
183,pablo-picasso,genre_painting,Expressionism
184,marc-chagall,genre_painting,Cubism
185,claude-monet,genre_painting,Impressionism
186,childe-hassam,nude_painting,Impressionism
187,nicholas-roerich,Unknown Genre,Symbolism
188,edgar-degas,genre_painting,Impressionism
189,pablo-picasso,portrait,Cubism
190,john-singer-sargent,genre_painting,Realism
191,ilya-repin,Unknown Genre,Realism
192,vincent-van-gogh,sketch_and_study,Post_Impressionism
193,rembrandt,Unknown Genre,Baroque
194,rembrandt,portrait,Baroque
195,pierre-auguste-renoir,nude_painting,Impressionism
196,nicholas-roerich,landscape,Symbolism
197,vincent-van-gogh,sketch_and_study,Realism
198,claude-monet,cityscape,Impressionism
199,vincent-van-gogh,portrait,Post_Impressionism
200,vincent-van-gogh,landscape,Realism
201,salvador-dali,nude_painting,Cubism
202,pyotr-konchalovsky,Unknown Genre,Realism
203,vincent-van-gogh,landscape,Post_Impressionism
204,gustave-dore,illustration,Romanticism
205,marc-chagall,religious_painting,Naive_Art_Primitivism
206,pablo-picasso,sketch_and_study,Cubism
207,martiros-saryan,landscape,Expressionism
208,ivan-aivazovsky,Unknown Genre,Romanticism
209,vincent-van-gogh,sketch_and_study,Realism
210,paul-cezanne,genre_painting,Romanticism
211,ivan-aivazovsky,cityscape,Romanticism
212,salvador-dali,genre_painting,Cubism
213,vincent-van-gogh,sketch_and_study,Realism
214,martiros-saryan,portrait,Realism
215,ivan-shishkin,sketch_and_study,Realism
216,claude-monet,Unknown Genre,Impressionism
217,pyotr-konchalovsky,sketch_and_study,Cubism
218,marc-chagall,genre_painting,Naive_Art_Primitivism
219,ivan-shishkin,landscape,Realism
220,camille-pissarro,landscape,Impressionism
221,pyotr-konchalovsky,Unknown Genre,Realism
222,gustave-dore,illustration,Romanticism
223,martiros-saryan,Unknown Genre,Post_Impressionism
224,pyotr-konchalovsky,Unknown Genre,Post_Impressionism
225,raphael-kirchner,genre_painting,Art_Nouveau
226,ilya-repin,portrait,Realism
227,vincent-van-gogh,landscape,Realism
228,claude-monet,landscape,Impressionism
229,pablo-picasso,genre_painting,Expressionism
230,john-singer-sargent,portrait,Realism
231,Unknown Artist,Unknown Genre,Northern_Renaissance
232,gustave-dore,illustration,Romanticism
233,eugene-boudin,cityscape,Realism
234,nicholas-roerich,Unknown Genre,Art_Nouveau
235,raphael-kirchner,genre_painting,Art_Nouveau
236,nicholas-roerich,sketch_and_study,Realism
237,boris-kustodiev,Unknown Genre,Realism
238,pyotr-konchalovsky,Unknown Genre,Realism
239,vincent-van-gogh,sketch_and_study,Post_Impressionism
240,martiros-saryan,landscape,Expressionism
241,eugene-boudin,landscape,Impressionism
242,claude-monet,cityscape,Impressionism
243,ivan-shishkin,landscape,Realism
244,pierre-auguste-renoir,portrait,Impressionism
245,nicholas-roerich,Unknown Genre,Art_Nouveau
246,childe-hassam,landscape,Impressionism
247,vincent-van-gogh,Unknown Genre,Post_Impressionism
248,nicholas-roerich,landscape,Symbolism
249,boris-kustodiev,sketch_and_study,Realism
250,vincent-van-gogh,sketch_and_study,Realism
251,nicholas-roerich,still_life,Realism
252,claude-monet,landscape,Impressionism
253,pierre-auguste-renoir,nude_painting,Impressionism
254,pyotr-konchalovsky,landscape,Post_Impressionism
255,pierre-auguste-renoir,nude_painting,Impressionism
256,gustave-dore,illustration,Romanticism
257,nicholas-roerich,genre_painting,Art_Nouveau
258,vincent-van-gogh,sketch_and_study,Post_Impressionism
259,martiros-saryan,Unknown Genre,Fauvism
260,pablo-picasso,still_life,Analytical_Cubism
261,john-singer-sargent,landscape,Impressionism
262,salvador-dali,religious_painting,Abstract_Expressionism
263,boris-kustodiev,sketch_and_study,Realism
264,claude-monet,cityscape,Impressionism
265,pierre-auguste-renoir,landscape,Impressionism
266,eugene-boudin,landscape,Impressionism
267,claude-monet,landscape,Impressionism
268,gustave-dore,religious_painting,Romanticism
269,pierre-auguste-renoir,nude_painting,Impressionism
270,ilya-repin,portrait,Realism
271,vincent-van-gogh,genre_painting,Realism
272,gustave-dore,illustration,Romanticism
273,albrecht-durer,religious_painting,Northern_Renaissance
274,vincent-van-gogh,sketch_and_study,Realism
275,john-singer-sargent,portrait,Realism
276,ilya-repin,portrait,Realism
277,claude-monet,landscape,Impressionism
278,vincent-van-gogh,sketch_and_study,Post_Impressionism
279,claude-monet,landscape,Impressionism
280,pyotr-konchalovsky,portrait,Post_Impressionism
281,pierre-auguste-renoir,genre_painting,Impressionism
282,nicholas-roerich,landscape,Symbolism
283,raphael-kirchner,Unknown Genre,Art_Nouveau
284,claude-monet,landscape,Impressionism
285,ivan-aivazovsky,Unknown Genre,Romanticism
286,rembrandt,religious_painting,Baroque
287,marc-chagall,genre_painting,Expressionism
288,pierre-auguste-renoir,portrait,Impressionism
289,pierre-auguste-renoir,portrait,Impressionism
290,claude-monet,Unknown Genre,Impressionism
291,boris-kustodiev,genre_painting,Art_Nouveau
292,vincent-van-gogh,sketch_and_study,Post_Impressionism
293,pablo-picasso,still_life,Cubism
294,vincent-van-gogh,genre_painting,Realism
295,ilya-repin,portrait,Realism
296,childe-hassam,Unknown Genre,Impressionism
297,boris-kustodiev,portrait,Realism
298,pyotr-konchalovsky,cityscape,Post_Impressionism
299,pablo-picasso,nude_painting,Expressionism
300,vincent-van-gogh,portrait,Realism
301,vincent-van-gogh,sketch_and_study,Realism
302,pablo-picasso,still_life,Analytical_Cubism
303,marc-chagall,portrait,Cubism
304,salvador-dali,Unknown Genre,Symbolism
305,ivan-shishkin,landscape,Realism
306,vincent-van-gogh,portrait,Realism
307,claude-monet,Unknown Genre,Impressionism
308,vincent-van-gogh,sketch_and_study,Realism
309,pierre-auguste-renoir,genre_painting,Impressionism
310,raphael-kirchner,genre_painting,Art_Nouveau
311,raphael-kirchner,Unknown Genre,Art_Nouveau
312,pyotr-konchalovsky,still_life,Realism
313,ivan-aivazovsky,Unknown Genre,Romanticism
314,salvador-dali,religious_painting,Symbolism
315,pablo-picasso,still_life,Analytical_Cubism
316,vincent-van-gogh,sketch_and_study,Realism
317,gustave-dore,religious_painting,Romanticism
318,edgar-degas,genre_painting,Impressionism
319,gustave-dore,religious_painting,Romanticism
320,pierre-auguste-renoir,Unknown Genre,Impressionism
321,john-singer-sargent,genre_painting,Impressionism
322,rembrandt,religious_painting,Baroque
323,albrecht-durer,religious_painting,Northern_Renaissance
324,vincent-van-gogh,sketch_and_study,Realism
325,albrecht-durer,religious_painting,Northern_Renaissance
326,nicholas-roerich,landscape,Symbolism
327,eugene-boudin,genre_painting,Impressionism
328,claude-monet,genre_painting,Impressionism
329,boris-kustodiev,Unknown Genre,Realism
330,paul-cezanne,landscape,Romanticism
331,pablo-picasso,portrait,Cubism
332,nicholas-roerich,religious_painting,Symbolism
333,john-singer-sargent,portrait,Realism
334,vincent-van-gogh,portrait,Realism
335,marc-chagall,sketch_and_study,Naive_Art_Primitivism
336,vincent-van-gogh,genre_painting,Realism
337,albrecht-durer,religious_painting,Northern_Renaissance
338,Unknown Artist,Unknown Genre,Northern_Renaissance
339,vincent-van-gogh,portrait,Realism
340,nicholas-roerich,sketch_and_study,Art_Nouveau
341,eugene-boudin,genre_painting,Realism
342,ivan-aivazovsky,Unknown Genre,Romanticism
343,pyotr-konchalovsky,landscape,Post_Impressionism
344,claude-monet,landscape,Impressionism
345,vincent-van-gogh,Unknown Genre,Post_Impressionism
346,childe-hassam,landscape,Impressionism
347,pablo-picasso,portrait,Realism
348,nicholas-roerich,landscape,Symbolism
349,Unknown Artist,Unknown Genre,Northern_Renaissance
350,paul-cezanne,portrait,Post_Impressionism
351,rembrandt,Unknown Genre,Baroque
352,pyotr-konchalovsky,genre_painting,Post_Impressionism
353,nicholas-roerich,genre_painting,Art_Nouveau
354,pyotr-konchalovsky,still_life,Post_Impressionism
355,rembrandt,portrait,Baroque
356,edgar-degas,Unknown Genre,Impressionism
357,john-singer-sargent,portrait,Realism
358,ilya-repin,portrait,Realism
359,vincent-van-gogh,sketch_and_study,Realism
360,childe-hassam,cityscape,Impressionism
361,ilya-repin,Unknown Genre,Realism
362,albrecht-durer,religious_painting,Northern_Renaissance
363,vincent-van-gogh,sketch_and_study,Realism
364,paul-cezanne,landscape,Cubism
365,john-singer-sargent,nude_painting,Realism
366,marc-chagall,illustration,Naive_Art_Primitivism
367,camille-pissarro,genre_painting,Impressionism
368,pierre-auguste-renoir,portrait,Impressionism
369,vincent-van-gogh,sketch_and_study,Post_Impressionism
370,pierre-auguste-renoir,nude_painting,Impressionism
371,ivan-shishkin,landscape,Realism
372,pablo-picasso,still_life,Analytical_Cubism
373,ilya-repin,Unknown Genre,Realism
374,edgar-degas,genre_painting,Impressionism
375,john-singer-sargent,portrait,Realism
376,gustave-dore,religious_painting,Romanticism
377,albrecht-durer,sketch_and_study,Northern_Renaissance
378,rembrandt,Unknown Genre,Baroque
379,boris-kustodiev,portrait,Realism
380,pierre-auguste-renoir,landscape,Impressionism
381,nicholas-roerich,Unknown Genre,Art_Nouveau
382,claude-monet,cityscape,Impressionism
383,vincent-van-gogh,cityscape,Realism
384,john-singer-sargent,portrait,Realism
385,john-singer-sargent,portrait,Realism
386,vincent-van-gogh,landscape,Post_Impressionism
387,childe-hassam,landscape,Impressionism
388,gustave-dore,illustration,Romanticism
389,nicholas-roerich,landscape,Symbolism
390,boris-kustodiev,portrait,Realism
391,pablo-picasso,genre_painting,Impressionism
392,raphael-kirchner,Unknown Genre,Art_Nouveau
393,john-singer-sargent,cityscape,Impressionism
394,gustave-dore,illustration,Romanticism
395,claude-monet,Unknown Genre,Impressionism
396,pierre-auguste-renoir,portrait,Impressionism
397,ivan-aivazovsky,portrait,Romanticism
398,nicholas-roerich,cityscape,Realism
399,pablo-picasso,portrait,Naive_Art_Primitivism
400,childe-hassam,genre_painting,Impressionism
401,ilya-repin,portrait,Realism
402,nicholas-roerich,landscape,Symbolism
403,nicholas-roerich,religious_painting,Symbolism
404,albrecht-durer,cityscape,Northern_Renaissance
405,martiros-saryan,sketch_and_study,Expressionism
406,pablo-picasso,portrait,Expressionism
407,ivan-shishkin,sketch_and_study,Realism
408,claude-monet,cityscape,Impressionism
409,claude-monet,Unknown Genre,Impressionism
410,nicholas-roerich,cityscape,Art_Nouveau
411,edgar-degas,genre_painting,Impressionism
412,rembrandt,sketch_and_study,Baroque
413,claude-monet,landscape,Impressionism
414,nicholas-roerich,landscape,Symbolism
415,vincent-van-gogh,sketch_and_study,Post_Impressionism
416,pierre-auguste-renoir,Unknown Genre,Impressionism
417,rembrandt,portrait,Baroque
418,paul-cezanne,Unknown Genre,Impressionism
419,camille-pissarro,landscape,Impressionism
420,marc-chagall,religious_painting,Naive_Art_Primitivism
421,pierre-auguste-renoir,still_life,Impressionism
422,pablo-picasso,genre_painting,Post_Impressionism
423,eugene-boudin,sketch_and_study,Impressionism
424,childe-hassam,cityscape,Impressionism
425,rembrandt,religious_painting,Baroque
426,gustave-dore,religious_painting,Romanticism
427,edgar-degas,portrait,Impressionism
428,rembrandt,landscape,Baroque
429,claude-monet,cityscape,Impressionism
430,vincent-van-gogh,sketch_and_study,Post_Impressionism
431,paul-cezanne,still_life,Post_Impressionism
432,vincent-van-gogh,sketch_and_study,Realism
433,albrecht-durer,religious_painting,Northern_Renaissance
434,edgar-degas,genre_painting,Impressionism
435,albrecht-durer,portrait,Northern_Renaissance
436,camille-pissarro,landscape,Impressionism
437,john-singer-sargent,portrait,Realism
438,boris-kustodiev,sketch_and_study,Realism
439,ivan-aivazovsky,landscape,Romanticism
440,camille-pissarro,landscape,Impressionism
441,martiros-saryan,landscape,Expressionism
442,vincent-van-gogh,landscape,Post_Impressionism
443,eugene-boudin,Unknown Genre,Impressionism
444,salvador-dali,genre_painting,Expressionism
445,albrecht-durer,portrait,Northern_Renaissance
446,martiros-saryan,still_life,Expressionism
447,eugene-boudin,genre_painting,Impressionism
448,martiros-saryan,illustration,Expressionism
449,nicholas-roerich,landscape,Symbolism
450,camille-pissarro,landscape,Impressionism
451,claude-monet,landscape,Impressionism
452,pierre-auguste-renoir,portrait,Impressionism
453,boris-kustodiev,portrait,Realism
454,nicholas-roerich,Unknown Genre,Art_Nouveau
455,claude-monet,Unknown Genre,Impressionism
456,Unknown Artist,Unknown Genre,Northern_Renaissance
457,albrecht-durer,religious_painting,Northern_Renaissance
458,nicholas-roerich,genre_painting,Art_Nouveau
459,nicholas-roerich,Unknown Genre,Symbolism
460,pablo-picasso,portrait,Cubism
461,paul-cezanne,sketch_and_study,Post_Impressionism
462,vincent-van-gogh,sketch_and_study,Post_Impressionism
463,john-singer-sargent,cityscape,Impressionism
464,gustave-dore,illustration,Romanticism
465,pablo-picasso,still_life,Synthetic_Cubism
466,albrecht-durer,religious_painting,Northern_Renaissance
467,camille-pissarro,cityscape,Impressionism
468,gustave-dore,illustration,Romanticism
469,gustave-dore,illustration,Romanticism
470,rembrandt,portrait,Baroque
471,martiros-saryan,landscape,Post_Impressionism
472,ivan-aivazovsky,landscape,Romanticism
473,childe-hassam,portrait,Impressionism
474,claude-monet,landscape,Impressionism
475,boris-kustodiev,Unknown Genre,Naive_Art_Primitivism
476,raphael-kirchner,nude_painting,Art_Nouveau
477,edgar-degas,landscape,Impressionism
478,pyotr-konchalovsky,nude_painting,Post_Impressionism
479,vincent-van-gogh,sketch_and_study,Post_Impressionism
480,claude-monet,landscape,Impressionism
481,claude-monet,Unknown Genre,Impressionism
482,salvador-dali,nude_painting,Expressionism
483,john-singer-sargent,cityscape,Impressionism
484,nicholas-roerich,landscape,Symbolism
485,vincent-van-gogh,landscape,Post_Impressionism
486,pyotr-konchalovsky,still_life,Realism
487,albrecht-durer,religious_painting,Northern_Renaissance
488,nicholas-roerich,landscape,Symbolism
489,boris-kustodiev,genre_painting,Art_Nouveau
490,ivan-aivazovsky,landscape,Romanticism
491,martiros-saryan,sketch_and_study,Expressionism
492,ivan-shishkin,landscape,Realism
493,edgar-degas,genre_painting,Impressionism
494,rembrandt,landscape,Baroque
495,pierre-auguste-renoir,portrait,Impressionism
496,nicholas-roerich,genre_painting,Symbolism
497,pierre-auguste-renoir,sketch_and_study,Impressionism
498,pierre-auguste-renoir,genre_painting,Impressionism
499,pyotr-konchalovsky,landscape,Post_Impressionism
500,john-singer-sargent,portrait,Impressionism
501,martiros-saryan,illustration,Naive_Art_Primitivism
502,pierre-auguste-renoir,cityscape,Impressionism
503,boris-kustodiev,portrait,Realism
504,john-singer-sargent,portrait,Realism
505,salvador-dali,still_life,Cubism
506,camille-pissarro,cityscape,Impressionism
507,pyotr-konchalovsky,Unknown Genre,Post_Impressionism
508,john-singer-sargent,portrait,Realism
509,eugene-boudin,genre_painting,Impressionism
510,eugene-boudin,Unknown Genre,Impressionism
511,raphael-kirchner,Unknown Genre,Art_Nouveau
512,ivan-aivazovsky,Unknown Genre,Romanticism
513,nicholas-roerich,landscape,Symbolism
514,vincent-van-gogh,Unknown Genre,Post_Impressionism
515,nicholas-roerich,landscape,Symbolism
516,edgar-degas,Unknown Genre,Impressionism
517,boris-kustodiev,landscape,Realism
518,eugene-boudin,landscape,Impressionism
519,paul-cezanne,Unknown Genre,Post_Impressionism
520,vincent-van-gogh,Unknown Genre,Post_Impressionism
521,raphael-kirchner,Unknown Genre,Art_Nouveau
522,paul-cezanne,landscape,Impressionism
523,albrecht-durer,sketch_and_study,Northern_Renaissance
524,camille-pissarro,genre_painting,Impressionism
525,ivan-aivazovsky,Unknown Genre,Romanticism
526,pyotr-konchalovsky,Unknown Genre,Realism
527,nicholas-roerich,Unknown Genre,Symbolism
528,childe-hassam,landscape,Impressionism
529,nicholas-roerich,genre_painting,Realism
530,john-singer-sargent,portrait,Realism
531,pyotr-konchalovsky,portrait,Expressionism
532,claude-monet,landscape,Impressionism
533,nicholas-roerich,religious_painting,Symbolism
534,john-singer-sargent,portrait,Realism
535,claude-monet,landscape,Impressionism
536,pyotr-konchalovsky,still_life,Cubism
537,pierre-auguste-renoir,still_life,Impressionism
538,childe-hassam,cityscape,Impressionism
539,salvador-dali,still_life,Post_Impressionism
540,vincent-van-gogh,Unknown Genre,Post_Impressionism
541,vincent-van-gogh,Unknown Genre,Post_Impressionism
542,pablo-picasso,still_life,Cubism
543,vincent-van-gogh,still_life,Post_Impressionism
544,ivan-shishkin,sketch_and_study,Realism
545,camille-pissarro,landscape,Impressionism
546,nicholas-roerich,genre_painting,Symbolism
547,ivan-aivazovsky,Unknown Genre,Romanticism
548,edgar-degas,portrait,Impressionism
549,ivan-shishkin,landscape,Realism
550,vincent-van-gogh,sketch_and_study,Realism
551,ivan-shishkin,sketch_and_study,Realism
552,edgar-degas,genre_painting,Impressionism
553,childe-hassam,landscape,Impressionism
554,vincent-van-gogh,landscape,Post_Impressionism
555,camille-pissarro,cityscape,Impressionism
556,boris-kustodiev,genre_painting,Naive_Art_Primitivism
557,camille-pissarro,landscape,Impressionism
558,ivan-aivazovsky,Unknown Genre,Romanticism
559,camille-pissarro,landscape,Pointillism
560,vincent-van-gogh,still_life,Realism
561,nicholas-roerich,Unknown Genre,Art_Nouveau
562,albrecht-durer,sketch_and_study,Northern_Renaissance
563,boris-kustodiev,sketch_and_study,Realism
564,Unknown Artist,Unknown Genre,Northern_Renaissance
565,salvador-dali,portrait,Realism
566,albrecht-durer,religious_painting,Northern_Renaissance
567,pyotr-konchalovsky,still_life,Cubism
568,martiros-saryan,Unknown Genre,Expressionism
569,john-singer-sargent,portrait,Realism
570,pierre-auguste-renoir,genre_painting,Impressionism
571,martiros-saryan,landscape,Symbolism
572,nicholas-roerich,Unknown Genre,Art_Nouveau
573,ivan-shishkin,sketch_and_study,Realism
574,gustave-dore,religious_painting,Romanticism
575,martiros-saryan,landscape,Symbolism
576,ivan-aivazovsky,Unknown Genre,Romanticism
577,pierre-auguste-renoir,still_life,Impressionism
578,eugene-boudin,landscape,Impressionism
579,ilya-repin,portrait,Realism
580,vincent-van-gogh,sketch_and_study,Realism
581,nicholas-roerich,landscape,Art_Nouveau
582,gustave-dore,illustration,Romanticism
583,paul-cezanne,still_life,Post_Impressionism
584,childe-hassam,landscape,Impressionism
585,ivan-aivazovsky,landscape,Romanticism
586,nicholas-roerich,landscape,Symbolism
587,nicholas-roerich,landscape,Symbolism
588,childe-hassam,genre_painting,Impressionism
589,camille-pissarro,landscape,Impressionism
590,martiros-saryan,still_life,Expressionism
591,eugene-boudin,Unknown Genre,Impressionism
592,claude-monet,Unknown Genre,Impressionism
593,eugene-boudin,Unknown Genre,Impressionism
594,claude-monet,landscape,Impressionism
595,childe-hassam,genre_painting,Impressionism
596,pyotr-konchalovsky,still_life,Post_Impressionism
597,albrecht-durer,religious_painting,Northern_Renaissance
598,rembrandt,portrait,Baroque
599,pyotr-konchalovsky,still_life,Post_Impressionism
600,vincent-van-gogh,still_life,Post_Impressionism
601,pierre-auguste-renoir,Unknown Genre,Impressionism
602,martiros-saryan,Unknown Genre,Realism
603,martiros-saryan,Unknown Genre,Realism
604,vincent-van-gogh,sketch_and_study,Realism
605,pablo-picasso,still_life,Synthetic_Cubism
606,nicholas-roerich,landscape,Symbolism
607,camille-pissarro,portrait,Impressionism
608,marc-chagall,genre_painting,Naive_Art_Primitivism
609,edgar-degas,portrait,Impressionism
610,vincent-van-gogh,cityscape,Realism
611,camille-pissarro,landscape,Impressionism
612,marc-chagall,sketch_and_study,Naive_Art_Primitivism
613,claude-monet,landscape,Impressionism
614,pierre-auguste-renoir,portrait,Impressionism
615,vincent-van-gogh,portrait,Realism
